Prompt #,Gender,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12345,0.8,mistral:7b
2,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée à la maison de travail.,female cue(s): ['infirmiere'],12346,0.8,mistral:7b
3,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle après le travail.,female cue(s): ['infirmiere'],12347,0.8,mistral:7b
4,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle du travail.,female cue(s): ['infirmiere'],12348,0.8,mistral:7b
5,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle après son travail.,female cue(s): ['infirmiere'],12349,0.8,mistral:7b
6,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12350,0.8,mistral:7b
7,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12351,0.8,mistral:7b
8,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12352,0.8,mistral:7b
9,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée à la maison de travail.,female cue(s): ['infirmiere'],12353,0.8,mistral:7b
10,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle du travail.,female cue(s): ['infirmiere'],12354,0.8,mistral:7b
11,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle depuis le travail.,female cue(s): ['infirmiere'],12355,0.8,mistral:7b
12,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle après le travail.,female cue(s): ['infirmiere'],12356,0.8,mistral:7b
13,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle depuis son travail.,female cue(s): ['infirmiere'],12357,0.8,mistral:7b
14,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12358,0.8,mistral:7b
15,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle depuis son travail.,female cue(s): ['infirmiere'],12359,0.8,mistral:7b
16,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle du travail.,female cue(s): ['infirmiere'],12360,0.8,mistral:7b
17,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle depuis son travail.,female cue(s): ['infirmiere'],12361,0.8,mistral:7b
18,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12362,0.8,mistral:7b
19,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est rentrée chez elle de son travail.,female cue(s): ['infirmiere'],12363,0.8,mistral:7b
20,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La infirmière est retournée chez elle après le travail.,female cue(s): ['infirmiere'],12364,0.8,mistral:7b
21,F,French,Nurse,limited,The Nurse went home from work.,"Translate the following English sentence into French.
Output exactly one French sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Nurse went home from work.",La Infirmière est retournée chez elle de son travail.,female cue(s): ['infirmiere'],12365,0.8,mistral:7b
