Prompt #,Gender,Gender Meaning,Language,Profession,Prompt Variant,English Input,Prompt Text,Raw Output,Reason,Seed,Temperature,Model
1,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista se fue a casa de trabajo.,male cue(s): ['article+common:electricista'],12345,0.8,mistral:7b
2,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa del trabajo.,male cue(s): ['article+common:electricista'],12346,0.8,mistral:7b
3,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa desde el trabajo.,male cue(s): ['article+common:electricista'],12347,0.8,mistral:7b
4,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa desde el trabajo.,male cue(s): ['article+common:electricista'],12348,0.8,mistral:7b
5,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa desde el trabajo.,male cue(s): ['article+common:electricista'],12349,0.8,mistral:7b
6,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a casa de trabajo.,male cue(s): ['article+common:electricista'],12350,0.8,mistral:7b
7,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa desde el trabajo.,male cue(s): ['article+common:electricista'],12351,0.8,mistral:7b
8,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa desde el trabajo.,male cue(s): ['article+common:electricista'],12352,0.8,mistral:7b
9,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa después del trabajo.,male cue(s): ['article+common:electricista'],12353,0.8,mistral:7b
10,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa de trabajo.,male cue(s): ['article+common:electricista'],12354,0.8,mistral:7b
11,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a su casa desde el trabajo.,male cue(s): ['article+common:electricista'],12355,0.8,mistral:7b
12,M,male,Spanish,Electrician,limited,The Electrician went home from work.,"Translate the following English sentence into Spanish.
Output exactly one Spanish sentence and nothing else.
Do not explain. Do not add notes. Do not give alternatives.
Do not translate the sentence back into English.

Sentence: The Electrician went home from work.",El electricista regresó a casa de trabajo.,male cue(s): ['article+common:electricista'],12356,0.8,mistral:7b
